index	score	id
713	2.250	ALPK2
714	2.250	ANAPC10
715	2.250	APAF1
716	2.250	ARAF
717	2.250	AURKB
718	2.250	AURKC
719	2.250	BAD
720	2.250	BCL10
721	2.250	BID
722	2.250	BIK
723	2.250	BMPR1B
724	2.250	CAMK4
725	2.250	CCNA1
726	2.250	CD40
727	2.250	COL18A1
728	2.250	COPS5
729	2.250	CREB1
730	2.250	CSF2
731	2.250	CXCR7
732	2.250	CYCS
733	2.250	CYP24A1
734	2.250	CYP2B6
735	2.250	DDX10
736	2.250	DDX6
737	2.250	DGKA
738	2.250	DNM2
739	2.250	DUSP1
740	2.250	EIF2AK4
741	2.250	EIF2S1
742	2.250	EIF4EBP1
743	2.250	EIF5A
744	2.250	EZH2
745	2.250	FIP1L1
746	2.250	FYN
747	2.250	GADD45A
748	2.250	GAS7
749	2.250	GEFT
750	2.250	GNG3
751	2.250	GOLGA5
752	2.250	GOPC
753	2.250	HIP1
754	2.250	HNRNPA2B1
755	2.250	HSPB1
756	2.250	IFNB1
757	2.250	IL1A
758	2.250	IL1RN
759	2.250	IL7R
760	2.250	INHBA
761	2.250	INSRR
762	2.250	ITGB1
763	2.250	ITK
764	2.250	LMTK2
765	2.250	LRP1B
766	2.250	MAF
767	2.250	MAP2K2
768	2.250	MAP3K8
769	2.250	MAPK11
770	2.250	MAPK12
771	2.250	MAPKAP1
772	2.250	MCL1
773	2.250	MELK
774	2.250	MERTK
775	2.250	MKL1
776	2.250	MOBKL1B
777	2.250	NCKIPSD
778	2.250	NRP2
779	2.250	NUMA1
780	2.250	OMG
781	2.250	PAX3
782	2.250	PAX7
783	2.250	PHIP
784	2.250	PIK3R4
785	2.250	PIK3R5
786	2.250	PPP1R15B
787	2.250	PPP2CA
788	2.250	PRKCDBP
789	2.250	PRKCH
790	2.250	PRKCQ
791	2.250	PRKD1
792	2.250	PRPF4B
793	2.250	PRRX1
794	2.250	PTK7
795	2.250	PTPN13
796	2.250	PTPRG
797	2.250	RALBP1
798	2.250	RASA1
799	2.250	REL
800	2.250	RHOB
801	2.250	RIT2
802	2.250	RYK
803	2.250	TAF1L
804	2.250	TCL1A
805	2.250	THRB
806	2.250	TLE1
807	2.250	TNFRSF17
808	2.250	TNFSF10
809	2.250	VAV1
810	2.250	WHSC1L1
811	2.250	YWHAH
812	2.250	ZMYND10
813	2.000	AATK
814	2.000	ADAM17
815	2.000	ADAM22
816	2.000	ADAM28
817	2.000	ADAR
818	2.000	ADCK1
819	2.000	ADCK2
820	2.000	ADCY3
821	2.000	ADCY5
822	2.000	ADCY6
823	2.000	ADCY7
824	2.000	AFF1
825	2.000	AFF3
826	2.000	AKAP4
827	2.000	ALS2
828	2.000	ANAPC11
829	2.000	ARHGAP26
830	2.000	ARHGEF12
831	2.000	ASPH
832	2.000	ASPSCR1
833	2.000	ATF1
834	2.000	AXIN1
835	2.000	BCL2L2
836	2.000	BRCC3
837	2.000	C15orf21
838	2.000	C15orf55
839	2.000	CAMK1G
840	2.000	CAMKK1
841	2.000	CASK
842	2.000	CASP1
843	2.000	CBFB
844	2.000	CCDC6
845	2.000	CD79A
846	2.000	CDC14B
847	2.000	CDC34
848	2.000	CDC42BPB
849	2.000	CDC42BPG
